,Temperature[C],ethanol_ethylene,propanol_propene,butanol_butene,pentonal_pentene,hexanol_hexene,heptanol_heptene,octanol_octene
1,0,-5.035902975,-2.111789199,-2.209261027,-3.643335541,-2.791774676,-1.687748248,-2.095745197
2,25,-4.458357977,-1.724243145,-1.804873877,-3.116955794,-2.325308604,-1.28443915,-1.672932679
3,50,-3.927908096,-1.367432796,-1.433054966,-2.640730932,-1.896207999,-0.920415545,-1.291173075
4,75,-3.45168146,-1.050108429,-1.10820868,-2.229097103,-1.525714301,-0.618546227,-0.976754025
5,100,-3.025086303,-0.769389296,-0.82788013,-1.877227604,-1.211529963,-0.375988919,-0.72698376
6,125,-2.641810657,-0.520316988,-0.586385458,-1.576948388,-0.94661328,-0.18484294,-0.533375801
7,150,-2.295409934,-0.297591239,-0.377421456,-1.319781486,-0.723051644,-0.036356488,-0.386454514
8,175,-1.980283676,-0.096418006,-0.195321706,-1.098258645,-0.533683047,0.077316241,-0.277714093
9,200,-1.691528732,0.087613763,-0.034997136,-0.905818655,-0.37211728,0.163117484,-0.199656263
10,225,-1.424753182,0.258758489,0.108254717,-0.736557399,-0.232539673,0.227314348,-0.145567872
11,250,-1.175794151,0.421509696,0.239102954,-0.584818557,-0.109320771,0.275930893,-0.109086439
12,275,-0.940269218,0.581326102,0.362805795,-0.444521292,0.003662486,0.315483745,-0.083469703
13,300,-0.712656399,0.746266292,0.486561026,-0.307761162,0.114470894,0.354529257,-0.060082128
14,325,-0.483688032,0.93180888,0.623418278,-0.160829886,0.237241433,0.408076654,-0.024112917
15,350,-0.228659395,1.182719827,0.80993203,0.033643008,0.410790236,0.517400119,0.064594045
